"","Tempo","ID_maquina","volt","rotacao","pressao","vibracao","tipo_erro","falha","modelo","idade_maquina","comp_subst"
"1",2016-02-17 03:00:00,"10",153.699320279206,409.303996782066,103.361031147923,40.4776171361913,NA,NA,"model3",10,NA
"2",2016-02-17 03:00:00,"11",174.530224663211,440.605382901336,81.7044015767624,35.71446839834,NA,NA,"model2",6,NA
"3",2016-02-17 03:00:00,"12",165.64374442847,356.585279078232,99.9120040964256,34.532538683453,NA,NA,"model3",9,NA
"4",2016-02-17 03:00:00,"13",183.01049413002,379.09623125585,94.0260532932101,31.7203256954769,NA,NA,"model1",15,NA
"5",2016-02-17 03:00:00,"14",NA,462.499350666019,91.5891941689441,36.4149741685243,NA,NA,"model3",1,NA
"6",2016-02-17 03:00:00,"15",157.303732039846,391.972500828774,84.7359775154135,45.5235021655178,NA,NA,"model3",14,NA
"7",2016-02-17 03:00:00,"16",NA,426.552096198273,82.5271713930287,35.8692436208791,NA,NA,"model1",3,NA
"8",2016-02-17 03:00:00,"17",153.388570486867,351.00591781274,101.394877605717,51.6709438970099,NA,NA,"model1",14,NA
"9",2016-02-17 03:00:00,"18",NA,410.977649197054,97.0161095567788,32.0750223235924,NA,NA,"model3",15,NA
"10",2016-02-17 03:00:00,"19",171.349482473556,484.74390573544,103.184826109276,40.2406823222923,NA,NA,"model3",17,NA
"11",2016-02-17 03:00:00,"20",184.745896254289,467.866527486564,108.664140866467,50.4117896700484,NA,NA,"model2",16,NA
"12",2016-02-17 04:00:00,"10",164.198533730857,375.238414310733,85.8557376602618,31.8667507202018,"error2",NA,"model3",10,NA
"13",2016-02-17 04:00:00,"11",NA,461.254676144121,107.505885522189,37.9308765693811,"error2",NA,"model2",6,NA
"14",2016-02-17 04:00:00,"12",NA,345.224348147009,106.900658071531,46.9715933808399,"error2",NA,"model3",9,NA
"15",2016-02-17 04:00:00,"13",163.567642048358,434.608837048218,99.838316802517,36.5033865720862,"error2",NA,"model1",15,NA
"16",2016-02-17 04:00:00,"14",194.276069396603,442.156370283423,98.0415742686934,37.9427817151339,"error2",NA,"model3",1,NA
"17",2016-02-17 04:00:00,"15",130.603778234018,493.081869472427,100.288732275795,37.5705427906546,"error2",NA,"model3",14,NA
"18",2016-02-17 04:00:00,"16",157.151020015705,426.34513807282,93.6203762258313,37.3308265031598,"error2",NA,"model1",3,NA
"19",2016-02-17 04:00:00,"17",175.145861689426,443.838352693748,115.404181262539,40.6546443510735,"error2",NA,"model1",14,NA
"20",2016-02-17 04:00:00,"18",164.370878690056,496.850533119486,117.338250668009,42.664047481663,"error2",NA,"model3",15,NA
"21",2016-02-17 04:00:00,"19",179.392912184941,417.665182040127,93.3359838072171,40.4549091425271,"error2",NA,"model3",17,NA
"22",2016-02-17 04:00:00,"20",160.002409244011,476.091622142778,84.1352300829533,35.0418696378667,"error2",NA,"model2",16,NA
"23",2016-02-17 05:00:00,"10",167.237444010168,435.770137149963,95.5925483946615,39.7655302860774,NA,NA,"model3",10,NA
"24",2016-02-17 05:00:00,"11",NA,538.540242523118,101.612580580822,NA,NA,NA,"model2",6,NA
"25",2016-02-17 05:00:00,"12",NA,463.250316967504,114.125939735331,52.4593749128225,NA,NA,"model3",9,NA
"26",2016-02-17 05:00:00,"13",NA,489.246659515011,101.871451017124,44.1673821508952,NA,NA,"model1",15,NA
"27",2016-02-17 05:00:00,"14",177.311783947289,417.697266680442,107.340734201467,41.6970276968175,NA,NA,"model3",1,NA
"28",2016-02-17 05:00:00,"15",NA,473.807459410521,103.352046785359,37.2020618496333,NA,NA,"model3",14,NA
